∆food_id,parameter_id,parameter_name_da,parameter_name_en,sort_key,value,min_value,max_value,median_value,source_id
1,137,Energi (kJ),Energy (kJ),1010,161.95358974359,,,,1003
1,316,"Energi, deklaration (kJ)","Energy, labelling (kJ)",1020,148.426875,,,,1003
1,356,Energi (kcal),Energy (kcal),1030,38.4579487179487,,,,1003
1,359,"Energi, deklaration (kcal)","Energy, labelling (kcal)",1040,35.2751923076923,,,,1003
1,218,Protein,Protein,1110,0.659855769230769,0.5,1,,1073
1,421,Protein fra Aminosyrer,Protein from Amino Acids,1120,0.4731281698451,,,,1003
1,317,"Protein, deklaration","Protein, labeling",1130,0.659855769230769,0.5,1,,1073
1,170,Kulhydrat difference,Carbohydrate by difference,1210,8.34732371794872,,,,1003
1,172,Tilgængelig kulhydrat,Available carbohydrates,1220,6.8619391025641,,,,1003
1,318,"Tilgængelig kulhydrat, deklaration","Available carbohydrate, labelling",1230,6.06625,,,,1003
1,168,Kostfibre,Dietary fibre,1240,1.48538461538462,1.24,2.13,,1305
1,141,Fedt,Fat,1310,0.6,0.4,0.8,,1073
1,19,Alkohol,Alcohol,1410,,,,,1655
1,327,Salt deklaration,Salt labelling,1510,0.0012695,,,,1003
1,33,Aske,Ash,1520,0.406153846153846,0.29,0.6,,1073
1,265,Tørstof,Dry matter,1610,10.0133333333333,7.2,13,,1878
1,268,Vand,Water,1620,89.9866666666667,87,92.8,,1878
1,12,A-vitamin,Vitamin A,2010,6.66666666666667,,,,1003
1,225,Retinol,Retinol,2020,,,,,1655
1,303,beta-Caroten,beta-Carotene,2030,40,26,60,,1020
1,126,D-vitamin,Vitamin D,2110,,,,,1003
1,128,D3-vitamin,Vitamin D3,2120,,,,,1344
1,135,E-vitamin,Vitamin E,2210,0.414,,,,1003
1,276,alfa-Tokoferol,alpha-Tocopherol,2220,0.414,0.35,0.48,,1034
1,442,K-vitamin,Vitamin K,2300,20,,,,1003
1,164,K1-vitamin,Vitamin K1,2301,20,,,,1006
1,37,Thiamin (B1-vitamin),Thiamin (Vitamin B1),2410,0.0145384615384615,0.014,0.03,,1305
1,39,Riboflavin (B2-vitamin),Riboflavin (Vitamin B2),2510,0.0110769230769231,0.014,0.022,,1305
1,203,Niacinækvivalent,Niacin equivalent,2610,0.57125,,,,1003
1,294,Niacin,Niacin,2620,0.434,0.33,0.61,0.415,2179
1,40,B6-vitamin,Vitamin B6,2710,0.0454615384615385,0.026,0.07,,1305
1,210,Pantotensyre,Pantothenic acid,2720,0.1293,0.097,0.17,0.1295,2179
1,42,Biotin,Biotin,2730,0.701428571428571,0.35,1.21,0.49,2179
1,143,Folat,Folate,2810,117,86,133,,1305
1,145,Frit folat,"Folate, free",2820,15,5.3,28.8,,1374
1,38,B12-vitamin,Vitamin B12,2830,,,,,1352
1,47,C-vitamin,Vitamin C,2910,66.85,,,,1003
1,175,Ascorbinsyre,Ascorbic acid,2920,64.8,45,94,63.5,2179
1,177,Dehydroascorbinsyre,Dehydroascorbic acid,2930,2.05,1,4.4,1.8,2179
1,201,Natrium,Sodium,3010,0.5078,,0.79,0.5525,2179
1,165,Kalium,Potassium,3020,178.576923076923,131,344,,1305
1,108,Calcium,Calcium,3030,18.5272727272727,11.5,31.6,,1015
1,184,Magnesium,Magnesium,3040,12.4692307692308,9.1,17.6,,1305
1,162,Jern,Iron,3110,0.254769230769231,0.145,0.41,,1305
1,166,Kobber,Copper,3120,0.0383421052631579,0.016,0.084,,1082
1,274,Zink,Zinc,3130,0.104192307692308,0.04,0.215,,1305
1,187,Mangan,Manganese,3140,0.3418,0.14,0.75,,1348
1,117,Krom,Chromium,3150,0.069,0.31,0.38,,2179
1,190,Molybdæn,Molybdenum,3160,,10,,,1348
1,230,Selen,Selenium,3210,0.180111111111111,,0.9,,1817
1,214,Fosfor,Phosphorus,3310,23.83125,15.2,34,,1015
1,163,Jod,Iodine,3350,0.0503,0.211,0.292,,2179
1,204,Nikkel,Nickel,3410,3.51474576271186,0.39,16.2,,1539
1,174,Kviksølv,Mercury,3420,0.002,0.02,0.02,,2179
1,32,Arsen,Arsenic,3430,0.303025,,1.34,,1506
1,107,Cadmium,Cadmium,3440,0.591254237288136,0.027,2.36,,1539
1,43,Bly,Lead,3450,0.313615384615385,,0.85,,1539
1,443,Sum mineraler,Sum minerals,3500,234.167245804196,,,,1003
1,146,Fruktose,Fructose,4010,3.1575,2.17,4.1,3,1878
1,149,Glukose,Glucose,4030,2.8525,1.8,4,2.665,1878
1,191,Sum monosakkarider,Sum monosaccharides,4040,6.01,,,,1003
1,228,Sakkarose,Sucrose,4130,0.05625,,0.3,,1878
1,18,Sum disakkarider,Sum disaccharides,4140,0.05625,,,,1003
1,245,Sum sukkerarter,Sum sugars,4410,6.06625,,,,1003
1,417,Tilsat Sukker,Added Sugar,4420,,,,,2133
1,418,Frie sukkerarter,Free Sugars,4430,,,,,2133
1,237,Sorbitol,Sorbitol,4510,,,,,1878
1,244,Sum sukkeralkoholer,Sum sugar alcohols,4550,,,,,1003
1,243,Stivelse/Glykogen,Starch/Glycogen,5010,,,0.15,,1314
1,112,Cellulose,Cellulose,5110,0.59,,,,1314
1,181,Lignin,Lignin,5210,0.39,,,,1314
1,41,Benzosyre,Benzoic acid,6210,0.03,0.1,,,1496
1,58,C16:0,C16:0,7090,0.0496551724137931,,,,1039
1,67,"C18:1,n-9","C18:1,n-9",8070,0.0827586206896552,,,,1039
1,71,"C18:2,n-6","C18:2,n-6",9010,0.182068965517241,,,,1039
1,74,"C18:3,n-3","C18:3,n-3",9030,0.16551724137931,,,,1039
1,86,"C20:4,n-6","C20:4,n-6",9100,,,,,1039
1,248,Sum mættede fedtsyrer,Sum saturated fatty acids,10110,0.0496551724137931,,,,1003
1,247,Sum enkeltumættede fedtsyrer,Sum monounsaturated fatty acids,10120,0.0827586206896552,,,,1003
1,251,Sum flerumættede fedtsyrer,Sum polyunsaturated fatty acids,10130,0.347586206896552,,,,1003
1,340,Sum fedtsyrer,Sum fatty acids,10150,0.48,,,,1003
1,249,Sum n-3 fedtsyrer,Sum n-3 fatty acids,10160,0.16551724137931,,,,1003
1,250,Sum n-6 fedtsyrer,Sum n-6 fatty acids,10170,0.182068965517241,,,,1003
1,115,Kolesterol,Cholesterol,11010,,,,,1655
1,300,Nitrogen,Nitrogen,12010,0.105576923076923,0.08,0.16,,1073
1,161,Isoleucin,Isoleucine,12110,24.2826923076923,,,,1059
1,180,Leucin,Leucine,12120,39.0634615384615,,,,1059
1,183,Lysin,Lysine,12130,34.8403846153846,,,,1059
1,189,Methionin,Methionine,12140,10.1353846153846,,,,1059
1,124,Cystin,Cystine,12150,3.69519230769231,,,,1059
1,211,Phenylalanin,Phenylalanine,12160,22.1711538461538,,,,1059
1,264,Tyrosin,Tyrosine,12170,10.5576923076923,,,,1059
1,258,Threonin,Threonine,12180,22.1711538461538,,,,1059
1,262,Tryptofan,Tryptophan,12190,8.235,,,,1059
1,266,Valin,Valine,12200,28.5057692307692,,,,1059
1,31,Arginin,Arginine,12210,40.1192307692308,,,,1059
1,159,Histidin,Histidine,12220,11.6134615384615,,,,1059
1,17,Alanin,Alanine,12230,30.6173076923077,,,,1059
1,34,Asparaginsyre,Aspartic acid,12240,96.075,,,,1059
1,150,Glutaminsyre,Glutamic acid,12250,89.7403846153846,,,,1059
1,153,Glycin,Glycine,12260,25.3384615384615,,,,1059
1,216,Prolin,Proline,12270,23.2269230769231,,,,1059
1,231,Serin,Serine,12280,29.5615384615385,,,,1059
1,430,Sum essentielle Aminosyrer,Sum essential amino acids,12400,201.018461538462,,,,1003
1,431,Sum ikke essentielle aminosyrer ,Sum non-essential amino acids,12410,348.931730769231,,,,1003
1,158,Histamin,Histamine,13010,0.01,,0.025,,1488
1,232,Serotonin,Serotonin,13020,0.003,0.01,,,1487
1,116,Cholin,Choline,13022,5.7,,,,2187
1,263,Tyramin,Tyramine,13110,,,,,1485
1,422,Sum biogene aminer,Sum biogenic amines,13210,0.013,,,,1003
1,252,Svind,Waste,20010,3.91,0.8,10.2,2.85,2179
1,219,Nitrogen-til-protein faktor,Nitrogen conversion factor,20110,6.25,,,,1267
1,140,Fedtsyrekonverteringsfaktor,Fatty acid conversion factor,20120,0.8,,,,1003
2,137,Energi (kJ),Energy (kJ),1010,232.547829884134,,,,1003
2,316,"Energi, deklaration (kJ)","Energy, labelling (kJ)",1020,220.141493030657,,,,1003
2,356,Energi (kcal),Energy (kcal),1030,55.0647335074677,,,,1003
2,359,"Energi, deklaration (kcal)","Energy, labelling (kcal)",1040,52.1455954242966,,,,1003
2,218,Protein,Protein,1110,0.269357638888889,0.1625,0.45,,1068
2,421,Protein fra Aminosyrer,Protein from Amino Acids,1120,0.189218963867777,,,,1003
2,317,"Protein, deklaration","Protein, labeling",1130,0.269357638888889,0.1625,0.45,,1068
2,170,Kulhydrat difference,Carbohydrate by difference,1210,14.2612561177249,,,,1003
2,172,Tilgængelig kulhydrat,Available carbohydrates,1220,12.0523953582312,,,,1003
2,318,"Tilgængelig kulhydrat, deklaration","Available carbohydrate, labelling",1230,11.3226108374384,,,,1003
2,168,Kostfibre,Dietary fibre,1240,2.20886075949367,1.81,2.76,,1305
2,141,Fedt,Fat,1310,0.228571428571429,,0.65,,1068
2,19,Alkohol,Alcohol,1410,,,,,1655
2,327,Salt deklaration,Salt labelling,1510,0.001503,,,,1003
2,33,Aske,Ash,1520,0.311481481481481,0.15,1.44,,1842
2,265,Tørstof,Dry matter,1610,15.0706666666667,11.9,18.8,,1878
2,268,Vand,Water,1620,84.9293333333333,81.2,88.1,,1878
2,12,A-vitamin,Vitamin A,2010,4.16666666666667,,,,1003
2,225,Retinol,Retinol,2020,,,,,1655
2,303,beta-Caroten,beta-Carotene,2030,25,18,32,,1808
2,126,D-vitamin,Vitamin D,2110,,,,,1003
2,128,D3-vitamin,Vitamin D3,2120,,,,,1655
2,135,E-vitamin,Vitamin E,2210,0.254285714285714,,,,1003
2,276,alfa-Tokoferol,alpha-Tocopherol,2220,0.254285714285714,0.09,0.39,0.255,2179
2,442,K-vitamin,Vitamin K,2300,3,,,,1003
2,164,K1-vitamin,Vitamin K1,2301,3,,,,1360
2,37,Thiamin (B1-vitamin),Thiamin (Vitamin B1),2410,0.0130506329113924,0.011,0.025,,1305
2,39,Riboflavin (B2-vitamin),Riboflavin (Vitamin B2),2510,0.00822950819672131,0.007,0.02,,1305
2,203,Niacinækvivalent,Niacin equivalent,2610,0.165937222222222,,,,1003
2,294,Niacin,Niacin,2620,0.12284,0.09,0.18,,1018
2,40,B6-vitamin,Vitamin B6,2710,0.0460025316455696,0.03,0.09,,1305
2,210,Pantotensyre,Pantothenic acid,2720,0.0723333333333333,0.042,0.121,0.064,2179
2,42,Biotin,Biotin,2730,0.996,0.67,1.4,0.9,2179
2,143,Folat,Folate,2810,9,4.7,18,,1305
2,145,Frit folat,"Folate, free",2820,3,1.5,5.2,,1374
2,38,B12-vitamin,Vitamin B12,2830,,,,,1352
2,47,C-vitamin,Vitamin C,2910,8.26266666666667,,,,1003
2,175,Ascorbinsyre,Ascorbic acid,2920,7.76,1.2,20.1,7.4,2179
2,177,Dehydroascorbinsyre,Dehydroascorbic acid,2930,0.502666666666667,0.21,1.5,0.41,2179
2,201,Natrium,Sodium,3010,0.6012,,1.5,0.52,2179
2,165,Kalium,Potassium,3020,117.85,77,343,,1305
2,108,Calcium,Calcium,3030,4.12571428571429,3.08,6.3,,1015
2,184,Magnesium,Magnesium,3040,4.49426229508197,3.3,6.17,,1305
2,162,Jern,Iron,3110,0.120508196721311,,0.25,,1305
2,166,Kobber,Copper,3120,0.031,0.021,0.046,0.032,2179
2,274,Zink,Zinc,3130,0.0242131147540984,,0.06,,1305
2,187,Mangan,Manganese,3140,0.0598666666666667,0.017,0.142,0.051,2179
2,117,Krom,Chromium,3150,0.111133333333333,0.247,0.62,,2179
2,190,Molybdæn,Molybdenum,3160,,10,,,1348
2,230,Selen,Selenium,3210,0.0052,0.078,0.078,,2179
2,214,Fosfor,Phosphorus,3310,9.52,6.8,13.1,9.1,2179
2,163,Jod,Iodine,3350,0.0978,0.207,0.326,,2179
2,204,Nikkel,Nickel,3410,0.515733333333333,0.046,1.45,0.45,2179
2,174,Kviksølv,Mercury,3420,0.000866666666666667,0.013,0.013,,2179
2,32,Arsen,Arsenic,3430,0.0276,0.071,0.156,,2179
2,107,Cadmium,Cadmium,3440,0.0248666666666667,0.019,0.118,0.021,2179
2,43,Bly,Lead,3450,0.1488,0.042,0.36,0.135,2179
2,443,Sum mineraler,Sum minerals,3500,136.711684777518,,,,1003
2,146,Fruktose,Fructose,4010,6.04586206896552,3.2,7.7,6,1878
2,149,Glukose,Glucose,4030,1.7551724137931,0.43,4,1.7,1878
2,191,Sum monosakkarider,Sum monosaccharides,4040,7.80103448275862,,,,1003
2,179,Laktose,Lactose,4110,,,,,1655
2,185,Maltose,Maltose,4120,,,,,1878
2,228,Sakkarose,Sucrose,4130,3.08586206896552,0.65,5.4,2.99,1878
2,18,Sum disakkarider,Sum disaccharides,4140,3.08586206896552,,,,1003
2,245,Sum sukkerarter,Sum sugars,4410,10.8868965517241,,,,1003
2,417,Tilsat Sukker,Added Sugar,4420,,,,,2133
2,418,Frie sukkerarter,Free Sugars,4430,,,,,2133
2,237,Sorbitol,Sorbitol,4510,0.435714285714286,0.2,0.7,0.45,1878
2,244,Sum sukkeralkoholer,Sum sugar alcohols,4550,0.435714285714286,,,,1003
2,243,Stivelse/Glykogen,Starch/Glycogen,5010,,,0.15,,1314
2,112,Cellulose,Cellulose,5110,0.76,,,,1314
2,181,Lignin,Lignin,5210,,,,,1314
2,41,Benzosyre,Benzoic acid,6210,0.03,0.1,,,1496
2,58,C16:0,C16:0,7090,0.0378325123152709,,,,1039
2,65,C18:0,C18:0,7110,0.0070935960591133,,,,1039
2,67,"C18:1,n-9","C18:1,n-9",8070,0.0070935960591133,,,,1039
2,71,"C18:2,n-6","C18:2,n-6",9010,0.103251231527094,,,,1039
2,74,"C18:3,n-3","C18:3,n-3",9030,0.0275862068965517,,,,1039
2,86,"C20:4,n-6","C20:4,n-6",9100,,,,,1039
2,248,Sum mættede fedtsyrer,Sum saturated fatty acids,10110,0.0449261083743842,,,,1003
2,247,Sum enkeltumættede fedtsyrer,Sum monounsaturated fatty acids,10120,0.0070935960591133,,,,1003
2,251,Sum flerumættede fedtsyrer,Sum polyunsaturated fatty acids,10130,0.130837438423645,,,,1003
2,340,Sum fedtsyrer,Sum fatty acids,10150,0.182857142857143,,,,1003
2,249,Sum n-3 fedtsyrer,Sum n-3 fatty acids,10160,0.0275862068965517,,,,1003
2,250,Sum n-6 fedtsyrer,Sum n-6 fatty acids,10170,0.103251231527094,,,,1003
2,115,Kolesterol,Cholesterol,11010,,,,,1655
2,300,Nitrogen,Nitrogen,12010,0.0430972222222222,0.026,0.072,,1068
2,161,Isoleucin,Isoleucine,12110,8.61944444444444,,,,1059
2,180,Leucin,Leucine,12120,13.7911111111111,,,,1059
2,183,Lysin,Lysine,12130,12.9291666666667,,,,1059
2,189,Methionin,Methionine,12140,2.58583333333333,,,,1059
2,124,Cystin,Cystine,12150,0.861944444444445,,,,1059
2,211,Phenylalanin,Phenylalanine,12160,6.89555555555556,,,,1059
2,264,Tyrosin,Tyrosine,12170,4.30972222222222,,,,1059
2,258,Threonin,Threonine,12180,7.7575,,,,1059
2,262,Tryptofan,Tryptophan,12190,2.58583333333333,,,,1059
2,266,Valin,Valine,12200,10.3433333333333,,,,1059
2,31,Arginin,Arginine,12210,6.03361111111111,,,,1059
2,159,Histidin,Histidine,12220,4.30972222222222,,,,1059
2,17,Alanin,Alanine,12230,11.2052777777778,,,,1059
2,34,Asparaginsyre,Aspartic acid,12240,78.4369444444444,,,,1059
2,150,Glutaminsyre,Glutamic acid,12250,22.4105555555556,,,,1059
2,153,Glycin,Glycine,12260,7.7575,,,,1059
2,216,Prolin,Proline,12270,8.18847222222222,,,,1059
2,231,Serin,Serine,12280,11.2052777777778,,,,1059
2,430,Sum essentielle Aminosyrer,Sum essential amino acids,12400,69.8175,,,,1003
2,431,Sum ikke essentielle aminosyrer ,Sum non-essential amino acids,12410,150.409305555556,,,,1003
2,158,Histamin,Histamine,13010,0.01,,0.025,,1488
2,116,Cholin,Choline,13022,5.1,,,,2187
2,263,Tyramin,Tyramine,13110,,,,,1491
2,239,Spermin,Spermine,13150,0.222,,,,1466
2,238,Spermidin,Spermidine,13160,9.86,,,,1466
2,422,Sum biogene aminer,Sum biogenic amines,13210,10.092,,,,1003
2,252,Svind,Waste,20010,9.7,7.1,12.6,10.2,2179
2,219,Nitrogen-til-protein faktor,Nitrogen conversion factor,20110,6.25,,,,1267
2,140,Fedtsyrekonverteringsfaktor,Fatty acid conversion factor,20120,0.8,,,,1003
3,137,Energi (kJ),Energy (kJ),1010,396.194565656566,,,,1003
3,316,"Energi, deklaration (kJ)","Energy, labelling (kJ)",1020,374.981855880231,,,,1003
3,356,Energi (kcal),Energy (kcal),1030,93.4754660894661,,,,1003
3,359,"Energi, deklaration (kcal)","Energy, labelling (kcal)",1040,88.4842402597403,,,,1003
3,218,Protein,Protein,1110,1.140625,0.9375,1.28125,1.1625,2179
3,421,Protein fra Aminosyrer,Protein from Amino Acids,1120,0.738622726987682,,,,1003
3,317,"Protein, deklaration","Protein, labeling",1130,1.140625,0.9375,1.28125,1.1625,2179
3,170,Kulhydrat difference,Carbohydrate by difference,1210,22.5878194444444,,,,1003
3,172,Tilgængelig kulhydrat,Available carbohydrates,1220,20.9550921717172,,,,1003
3,318,"Tilgængelig kulhydrat, deklaration","Available carbohydrate, labelling",1230,19.7072857142857,,,,1003
3,168,Kostfibre,Dietary fibre,1240,1.63272727272727,1.38,1.94,,1305
3,141,Fedt,Fat,1310,0.205555555555556,,0.52,0.25,1818
3,19,Alkohol,Alcohol,1410,,,,,1655
3,327,Salt deklaration,Salt labelling,1510,,,,,1003
3,33,Aske,Ash,1520,0.716,0.64,0.81,0.715,2179
3,265,Tørstof,Dry matter,1610,24.65,23.1,26.8,24.1,2179
3,268,Vand,Water,1620,75.35,73.2,76.9,75.9,2179
3,12,A-vitamin,Vitamin A,2010,8.83333333333333,,,,1003
3,225,Retinol,Retinol,2020,,,,,1344
3,303,beta-Caroten,beta-Carotene,2030,53,32,102,44,1808
3,126,D-vitamin,Vitamin D,2110,,,,,1003
3,128,D3-vitamin,Vitamin D3,2120,,,,,1344
3,135,E-vitamin,Vitamin E,2210,0.27,,,,1003
3,276,alfa-Tokoferol,alpha-Tocopherol,2220,0.27,0.24,0.3,0.27,2179
3,442,K-vitamin,Vitamin K,2300,0.5,,,,1003
3,164,K1-vitamin,Vitamin K1,2301,0.5,,,,2130
3,37,Thiamin (B1-vitamin),Thiamin (Vitamin B1),2410,0.0398636363636364,0.029,0.057,,1305
3,39,Riboflavin (B2-vitamin),Riboflavin (Vitamin B2),2510,0.0141363636363636,0.021,0.03,,1305
3,203,Niacinækvivalent,Niacin equivalent,2610,0.765333333333333,,,,1003
3,294,Niacin,Niacin,2620,0.595,0.49,0.79,0.585,2179
3,40,B6-vitamin,Vitamin B6,2710,0.305363636363636,0.17,0.47,,1305
3,210,Pantotensyre,Pantothenic acid,2720,0.258,0.21,0.31,0.245,2179
3,42,Biotin,Biotin,2730,1.57,1.4,1.9,1.6,2179
3,143,Folat,Folate,2810,38,29,51,,1305
3,145,Frit folat,"Folate, free",2820,12,4.9,21.1,,1374
3,38,B12-vitamin,Vitamin B12,2830,,,,,1344
3,47,C-vitamin,Vitamin C,2910,11.2,,,,1003
3,175,Ascorbinsyre,Ascorbic acid,2920,8.11,4.9,10.5,8.1,2179
3,177,Dehydroascorbinsyre,Dehydroascorbic acid,2930,3.09,1.8,5.4,2.9,2179
3,201,Natrium,Sodium,3010,,,,,2179
3,165,Kalium,Potassium,3020,348.090909090909,301,428,,1305
3,108,Calcium,Calcium,3030,6.62,5.63,8.5,6.195,2179
3,184,Magnesium,Magnesium,3040,28.1136363636364,14.7,33,,1305
3,162,Jern,Iron,3110,0.251409090909091,0.19,0.341,,1305
3,166,Kobber,Copper,3120,0.105535714285714,0.072,0.17,,1082
3,274,Zink,Zinc,3130,0.166909090909091,0.121,0.198,,1305
3,187,Mangan,Manganese,3140,0.4592,0.088,2.61,0.1725,2179
3,117,Krom,Chromium,3150,,,0.24,,2179
3,230,Selen,Selenium,3210,0.3517,0.096,1.06,0.2355,2179
3,214,Fosfor,Phosphorus,3310,25.63125,20.9,32.3,,1015
3,163,Jod,Iodine,3350,0.0477,0.189,0.288,,2179
3,204,Nikkel,Nickel,3410,4.07829787234042,,14.3,,1539
3,174,Kviksølv,Mercury,3420,0.0089,0.015,0.023,,2179
3,32,Arsen,Arsenic,3430,0.0208,0.094,0.114,,2179
3,107,Cadmium,Cadmium,3440,0.0136,0.017,0.043,,2179
3,43,Bly,Lead,3450,0.0827,0.053,0.134,0.0855,2179
3,443,Sum mineraler,Sum minerals,3500,408.707204545455,,,,1003
3,146,Fruktose,Fructose,4010,7.005,4.8,7.8,7.325,2179
3,148,Galaktose,Galactose,4020,,,,,2130
3,149,Glukose,Glucose,4030,6.925,4.81,7.76,7.165,2179
3,191,Sum monosakkarider,Sum monosaccharides,4040,13.93,,,,1003
3,179,Laktose,Lactose,4110,,,,,2130
3,185,Maltose,Maltose,4120,0.01,,,,2130
3,228,Sakkarose,Sucrose,4130,1.428,1.59,4,1.685,2179
3,18,Sum disakkarider,Sum disaccharides,4140,1.438,,,,1003
3,245,Sum sukkerarter,Sum sugars,4410,15.368,,,,1003
3,417,Tilsat Sukker,Added Sugar,4420,,,,,2133
3,418,Frie sukkerarter,Free Sugars,4430,,,,,2133
3,237,Sorbitol,Sorbitol,4510,0.0142857142857143,,0.1,,1878
3,244,Sum sukkeralkoholer,Sum sugar alcohols,4550,0.0142857142857143,,,,1003
3,243,Stivelse/Glykogen,Starch/Glycogen,5010,4.325,0.75,7.9,4.9,2179
3,112,Cellulose,Cellulose,5110,0.37,,,,1337
3,181,Lignin,Lignin,5210,0.27,,,,1337
3,41,Benzosyre,Benzoic acid,6210,0.03,0.1,,,1496
3,103,C4:0,C4:0,7010,,,,,1818
3,104,C6:0,C6:0,7020,,,,,1818
3,105,C8:0,C8:0,7030,,,,,1818
3,48,C10:0,C10:0,7040,,,,,1818
3,49,C12:0,C12:0,7050,,,,,1818
3,51,C14:0,C14:0,7070,,,,,1818
3,58,C16:0,C16:0,7090,0.0704342403628118,,,,1818
3,63,C17:0,C17:0,7100,,,,,1818
3,65,C18:0,C18:0,7110,0.0116369614512472,,,,1818
3,77,C20:0,C20:0,7120,,,,,1818
3,89,C22:0,C22:0,7140,,,,,1818
3,100,C24:0,C24:0,7160,,,,,1818
3,52,"C14:1,n-5","C14:1,n-5",8020,,,,,1818
3,59,"C16:1,n-7","C16:1,n-7",8040,0.0110244897959184,,,,1818
3,66,"C18:1,n-7","C18:1,n-7",8060,,,,,1818
3,67,"C18:1,n-9","C18:1,n-9",8070,0.0318485260770975,,,,1818
3,78,"C20:1,n-11","C20:1,n-11",8090,,,,,1818
3,92,"C22:1,n-9","C22:1,n-9",8100,,,,,1818
3,90,"C22:1,n-11","C22:1,n-11",8110,,,,,1818
3,101,"C24:1,n-9","C24:1,n-9",8120,,,,,1818
3,71,"C18:2,n-6","C18:2,n-6",9010,0.0251113378684807,,,,1818
3,74,"C18:3,n-3","C18:3,n-3",9030,,,,,1818
